phrog	color	annot	category
70	#3e83f6	major head protein	head and packaging
71	#35d7ff	head-tail adaptor Ad1	connector
72	#ffdf59	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
73	#3e83f6	head scaffolding protein	head and packaging
74	#3e83f6	terminase small subunit	head and packaging
75	#35d7ff	head-tail adaptor Ad1	connector
76	#07e9a2	tail protein	tail
77	#ffdf59	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
78	#35d7ff	tail terminator	connector
79	#a861e3	anti-termination protein Q-like	transcription regulation
80	#3e83f6	head maturation protease	head and packaging
81	#ff59f5	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
82	#35d7ff	head closure Hc1	connector
83	#3e83f6	terminase small subunit	head and packaging
84	#ffdf59	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism
85	#ffdf59	thymidylate synthase	DNA, RNA and nucleotide metabolism
86	#ffdf59	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism
87	#838383	metallo-protease	other
88	#07e9a2	major tail protein	tail
89	#f35f49	Rz-like spanin	lysis
90	#f35f49	endolysin	lysis
91	#ffdf59	nicking at origin of replication	DNA, RNA and nucleotide metabolism
92	#3e83f6	DNA packaging chaperone FI	head and packaging
93	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
94	#3e83f6	head maturation protease	head and packaging
95	#fea328	integrase	integration and excision
96	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
97	#838383	UvsX-like recombinase	other
98	#c9c9c9	NA	unknown function
99	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
100	#ffdf59	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
101	#a861e3	CII-like transcriptional activator	transcription regulation
102	#f35f49	endolysin	lysis
103	#07e9a2	tail protein	tail
104	#3e83f6	portal protein	head and packaging
105	#07e9a2	tail fiber assembly	tail
106	#07e9a2	minor tail protein	tail
107	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
108	#838383	Lom outer membrane protein	other
109	#ffdf59	P-like helicase loader	DNA, RNA and nucleotide metabolism
110	#07e9a2	minor tail protein	tail
111	#838383	DNA methyltransferase	other
112	#ffdf59	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	DNA, RNA and nucleotide metabolism
113	#3e83f6	portal protein	head and packaging
114	#ffdf59	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism
115	#3e83f6	minor head protein	head and packaging
116	#838383	DNA methyltransferase	other
117	#07e9a2	major tail protein	tail
118	#35d7ff	head-tail adaptor	connector
119	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
120	#07e9a2	baseplate wedge subunit	tail
121	#c9c9c9	NA	unknown function
122	#3e83f6	head decoration	head and packaging
123	#35d7ff	tail terminator	connector
124	#ffdf59	Sak4-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
125	#ffdf59	DNA invertase	DNA, RNA and nucleotide metabolism
126	#f35f49	holin/anti-holin	lysis
127	#a861e3	anti-termination protein Q-like	transcription regulation
128	#c9c9c9	NA	unknown function
129	#a861e3	transcriptional regulator	transcription regulation
130	#a861e3	anti-repressor Ant	transcription regulation
131	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
132	#35d7ff	head-tail adaptor	connector
133	#3e83f6	head maturation protease	head and packaging
134	#c9c9c9	NA	unknown function
135	#ffdf59	dUTPase	DNA, RNA and nucleotide metabolism
136	#07e9a2	tail fiber assembly protein	tail
137	#35d7ff	head-tail adaptor Ad1	connector
138	#3e83f6	major head protein	head and packaging
139	#838383	deoxynucleoside monophosphate kinase	other
140	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
141	#3e83f6	terminase small subunit	head and packaging
142	#ff59f5	Ren-like exclusion protein	moron, auxiliary metabolic gene and host takeover
143	#c9c9c9	NA	unknown function
144	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
145	#3e83f6	portal protein	head and packaging
146	#3e83f6	portal protein	head and packaging
147	#a861e3	transcriptional regulator	transcription regulation
148	#ffdf59	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
149	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
150	#07e9a2	baseplate hub	tail
151	#fea328	transposase	integration and excision
152	#a861e3	RinB-like transcriptional activator	transcription regulation
153	#07e9a2	minor tail protein	tail
154	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
155	#ffdf59	Erf-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
156	#3e83f6	portal protein	head and packaging
157	#fea328	transposase	integration and excision
158	#07e9a2	major tail protein	tail
159	#ffdf59	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
160	#ffdf59	thymidylate synthase	DNA, RNA and nucleotide metabolism
161	#35d7ff	head closure Hc1	connector
162	#f35f49	endolysin	lysis
163	#a861e3	CII-like transcriptional activator	transcription regulation
164	#ffdf59	ParA-like partition protein	DNA, RNA and nucleotide metabolism
165	#07e9a2	tail sheath	tail
166	#07e9a2	tail protein	tail
167	#07e9a2	tail length tape measure protein	tail
168	#ffdf59	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism
169	#35d7ff	tail completion or Neck1 protein	connector
170	#838383	PhoH-like phosphate starvation-inducible	other
171	#ffdf59	NinG/ Rap DNA junction specific endonuclease	DNA, RNA and nucleotide metabolism
172	#3e83f6	head scaffolding protein	head and packaging
173	#ffdf59	nucleoside triphosphate pyrophosphohydrolase	DNA, RNA and nucleotide metabolism
174	#ffdf59	dCMP deaminase	DNA, RNA and nucleotide metabolism
175	#f35f49	holin	lysis
176	#35d7ff	tail terminator	connector
177	#07e9a2	baseplate hub	tail
178	#838383	high light inducible protein	other
179	#35d7ff	tail terminator	connector
180	#07e9a2	baseplate wedge subunit	tail
181	#f35f49	endolysin	lysis
182	#ff59f5	photosystem II D1	moron, auxiliary metabolic gene and host takeover
183	#07e9a2	tail chaperone protein	tail
184	#07e9a2	baseplate hub	tail
185	#07e9a2	tail tube protein	tail
186	#ffdf59	DnaD-like helicase loader	DNA, RNA and nucleotide metabolism
187	#35d7ff	head-tail adaptor	connector
188	#07e9a2	tail fiber assembly protein	tail
189	#ffdf59	RecA filament binding protein DinI	DNA, RNA and nucleotide metabolism
190	#ffdf59	Holliday junction resolvase	DNA, RNA and nucleotide metabolism
191	#a861e3	CII-like transcriptional activator	transcription regulation
192	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
193	#3e83f6	head maturation protease	head and packaging
194	#3e83f6	head scaffolding protein	head and packaging
195	#35d7ff	head-tail adaptor	connector
196	#07e9a2	baseplate hub	tail
197	#ff59f5	Zot-like toxin	moron, auxiliary metabolic gene and host takeover
198	#f35f49	holin	lysis
199	#f35f49	holin	lysis
200	#838383	lipoprotein	other
201	#ffdf59	Panton-Valentine leukocicin	DNA, RNA and nucleotide metabolism
202	#07e9a2	distal tail protein Dit	tail
203	#07e9a2	baseplate wedge subunit	tail
204	#c9c9c9	NA	unknown function
205	#07e9a2	tail sheath	tail
206	#3e83f6	head scaffolding protein	head and packaging
207	#3e83f6	head maturation protease	head and packaging
208	#c9c9c9	NA	unknown function
209	#3e83f6	portal protein	head and packaging
210	#c9c9c9	NA	unknown function
211	#35d7ff	head-tail adaptor Ad2	connector
212	#3e83f6	major head protein	head and packaging
213	#3e83f6	portal protein	head and packaging
214	#f35f49	Rz-like spanin	lysis
215	#3e83f6	structural protein with Ig domain	head and packaging
216	#fea328	integrase	integration and excision
217	#f35f49	holin	lysis
218	#35d7ff	head closure	connector
219	#07e9a2	baseplate wedge subunit	tail
220	#3e83f6	minor head protein and DNA pilot	head and packaging
221	#838383	metallo-phosphoesterase	other
222	#35d7ff	tail completion or Neck1 protein	connector
223	#ffdf59	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
224	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
225	#ffdf59	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism
226	#07e9a2	minor tail protein	tail
227	#07e9a2	tail sheath stabilizer	tail
228	#a861e3	Arc-like repressor	transcription regulation
229	#838383	MazG-like pyrophosphatase	other
230	#07e9a2	baseplate tail tube cap	tail
231	#ffdf59	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism
232	#07e9a2	baseplate wedge subunit	tail
233	#3e83f6	head scaffolding protein	head and packaging
234	#a861e3	late sigma transcription factor	transcription regulation
235	#c9c9c9	NA	unknown function
236	#838383	nucleotide kinase	other
237	#3e83f6	head scaffolding protein	head and packaging
238	#07e9a2	major tail protein	tail
239	#ffdf59	DNA primase/helicase	DNA, RNA and nucleotide metabolism
240	#3e83f6	head protein	head and packaging
241	#3e83f6	head morphogenesis	head and packaging
242	#838383	translation repressor	other
243	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
244	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
245	#a861e3	anti-repressor Ant	transcription regulation
246	#838383	NinI-like serine-threonine phosphatase	other
247	#3e83f6	major head protein	head and packaging
248	#a861e3	transcriptional activator	transcription regulation
249	#ff59f5	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover
250	#c9c9c9	NA	unknown function
251	#ff59f5	MokW-like host killing	moron, auxiliary metabolic gene and host takeover
252	#ffdf59	Bet-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
253	#ffdf59	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism
254	#a861e3	late promoter transcriptional regulator	transcription regulation
255	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
256	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
257	#07e9a2	minor tail protein	tail
258	#838383	virulence associated	other
259	#ff59f5	gam-like host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover
260	#838383	Bor-like outer membrane protein	other
261	#07e9a2	baseplate wedge subunit	tail
262	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
263	#f35f49	holin	lysis
264	#3e83f6	major head protein	head and packaging
265	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
266	#c9c9c9	NA	unknown function
267	#3e83f6	major head protein	head and packaging
268	#c9c9c9	NA	unknown function
269	#ffdf59	DNA helicase loader	DNA, RNA and nucleotide metabolism
270	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
271	#a861e3	anti-termination protein N-like	transcription regulation
272	#fea328	Cox-like excisionase and repressor	integration and excision
273	#c9c9c9	NA	unknown function
274	#ffdf59	DNA endonuclease V	DNA, RNA and nucleotide metabolism
275	#c9c9c9	NA	unknown function
276	#c9c9c9	NA	unknown function
277	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
278	#a861e3	transcriptional regulator	transcription regulation
279	#07e9a2	tail sheath	tail
280	#3e83f6	virion structural protein	head and packaging
281	#ff59f5	PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover
282	#c9c9c9	NA	unknown function
283	#3e83f6	major head protein	head and packaging
284	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
285	#c9c9c9	NA	unknown function
286	#c9c9c9	NA	unknown function
287	#07e9a2	minor tail protein	tail
288	#c9c9c9	NA	unknown function
289	#838383	GTP-binding domain	other
290	#07e9a2	minor tail protein	tail
291	#f35f49	endolysin	lysis
292	#c9c9c9	NA	unknown function
293	#ff59f5	ABC transporter	moron, auxiliary metabolic gene and host takeover
294	#838383	Kil protein for bacterial septation inhibition	other
295	#07e9a2	tail fiber protein	tail
296	#fea328	DNA transposition protein	integration and excision
297	#f35f49	holin	lysis
298	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
299	#c9c9c9	NA	unknown function
300	#07e9a2	tail fiber protein	tail
301	#838383	secreted protein	other
302	#3e83f6	virion structural protein	head and packaging
303	#c9c9c9	NA	unknown function
304	#a861e3	anti-termination protein Q-like	transcription regulation
305	#07e9a2	tail length tape measure protein	tail
306	#3e83f6	minor head protein Ace-like	head and packaging
307	#ffdf59	endonuclease VII	DNA, RNA and nucleotide metabolism
308	#3e83f6	internal virion protein	head and packaging
309	#3e83f6	terminase small subunit	head and packaging
310	#fea328	transposase	integration and excision
311	#c9c9c9	NA	unknown function
312	#f35f49	Rz-like spanin	lysis
313	#07e9a2	Tail assembly chaperone	tail
314	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism
315	#f35f49	endolysin	lysis
316	#ffdf59	dihydrofolate reductase	DNA, RNA and nucleotide metabolism
317	#f35f49	endolysin	lysis
318	#838383	deoxyribonucleoside 5' monophosphate phosphatase	other
319	#ffdf59	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
320	#35d7ff	head closure Hc1	connector
321	#35d7ff	tail completion or Neck1 protein	connector
322	#c9c9c9	NA	unknown function
323	#a861e3	transcriptional regulator, D5-like	transcription regulation
324	#3e83f6	head morphogenesis	head and packaging
325	#ffdf59	Dda-like helicase	DNA, RNA and nucleotide metabolism
326	#838383	tail protein with endopeptidase domain	other
327	#07e9a2	tail protein	tail
328	#3e83f6	head maturation protease	head and packaging
329	#07e9a2	minor tail protein	tail
330	#07e9a2	tail assembly chaperone	tail
331	#c9c9c9	NA	unknown function
332	#35d7ff	head-tail adaptor	connector
333	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
334	#3e83f6	major head protein	head and packaging
335	#838383	phosphatase	other
336	#c9c9c9	NA	unknown function
337	#07e9a2	tail protein	tail
338	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
339	#07e9a2	tail length tape measure protein	tail
340	#c9c9c9	NA	unknown function
341	#07e9a2	major tail protein	tail
342	#3e83f6	internal virion protein with endolysin domain	head and packaging
343	#c9c9c9	NA	unknown function
344	#07e9a2	tail assembly chaperone	tail
345	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
346	#07e9a2	minor tail protein	tail
347	#35d7ff	tail terminator	connector
348	#3e83f6	minor head protein	head and packaging
349	#3e83f6	virion structural protein	head and packaging
350	#07e9a2	tail protein	tail
351	#a861e3	RNA polymerase sigma factor	transcription regulation
352	#07e9a2	minor tail protein	tail
353	#ff59f5	toxin	moron, auxiliary metabolic gene and host takeover
354	#a861e3	sigma-K factor	transcription regulation
355	#ffdf59	nucleoside 2-deoxyribosyltransferase	DNA, RNA and nucleotide metabolism
356	#07e9a2	minor tail protein	tail
357	#a861e3	transcriptional repressor	transcription regulation
358	#c9c9c9	NA	unknown function
359	#838383	DNA methyltransferase	other
360	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
361	#3e83f6	terminase small subunit	head and packaging
362	#a861e3	transcriptional repressor	transcription regulation
363	#838383	DNA methyltransferase	other
364	#ffdf59	ribonucleoside reductase class II	DNA, RNA and nucleotide metabolism
365	#07e9a2	tail protein	tail
366	#07e9a2	tail fiber protein	tail
367	#ffdf59	ribonucleotide reductase	DNA, RNA and nucleotide metabolism
368	#c9c9c9	NA	unknown function
369	#c9c9c9	NA	unknown function
370	#3e83f6	terminase small subunit	head and packaging
371	#3e83f6	major head protein	head and packaging
372	#07e9a2	tail protein	tail
373	#a861e3	anti-repressor	transcription regulation
374	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
375	#ff59f5	Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover
376	#07e9a2	tail protein	tail
377	#a861e3	anti-repressor Ant	transcription regulation
378	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
379	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
380	#f35f49	endolysin	lysis
381	#07e9a2	tail fiber protein	tail
382	#07e9a2	minor tail protein with lysin activity	tail
383	#c9c9c9	NA	unknown function
384	#3e83f6	virion structural protein	head and packaging
385	#a861e3	transcriptional regulator	transcription regulation
386	#c9c9c9	NA	unknown function
387	#35d7ff	neck protein	connector
388	#ffdf59	nucleotidyltransferase	DNA, RNA and nucleotide metabolism
389	#07e9a2	tail protein XkdN-like	tail
390	#a861e3	Arc-like repressor	transcription regulation
391	#ffdf59	replication initiation O-like	DNA, RNA and nucleotide metabolism
392	#838383	metal-dependent hydrolase	other
393	#07e9a2	tail assembly chaperone	tail
394	#07e9a2	tail protein	tail
395	#838383	cytidyltransferase	other
396	#07e9a2	minor tail protein	tail
397	#c9c9c9	NA	unknown function
398	#c9c9c9	NA	unknown function
399	#3e83f6	structural protein	head and packaging
400	#07e9a2	tail protein	tail
401	#c9c9c9	NA	unknown function
402	#c9c9c9	NA	unknown function
403	#ffdf59	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
404	#07e9a2	minor tail protein	tail
405	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
406	#c9c9c9	NA	unknown function
407	#c9c9c9	NA	unknown function
408	#c9c9c9	NA	unknown function
409	#a861e3	transcriptional regulator	transcription regulation
410	#c9c9c9	NA	unknown function
411	#c9c9c9	NA	unknown function
412	#ffdf59	exonuclease VIII	DNA, RNA and nucleotide metabolism
413	#3e83f6	head protein	head and packaging
414	#ffdf59	RNA polymerase	DNA, RNA and nucleotide metabolism
415	#838383	polynucleotide kinase	other
416	#07e9a2	minor tail protein	tail
417	#c9c9c9	NA	unknown function
418	#3e83f6	internal virion protein	head and packaging
419	#c9c9c9	NA	unknown function
420	#c9c9c9	unknown function	unknown function
421	#c9c9c9	unknown function	unknown function
422	#3e83f6	major head protein	head and packaging
423	#ffdf59	endonuclease VII	DNA, RNA and nucleotide metabolism
424	#ff59f5	phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover
425	#ff59f5	membrane associated protein	moron, auxiliary metabolic gene and host takeover
426	#3e83f6	terminase small subunit	head and packaging
427	#c9c9c9	NA	unknown function
428	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
429	#ffdf59	DNA end protector	DNA, RNA and nucleotide metabolism
430	#07e9a2	baseplate hub subunit and tail lysozyme	tail
431	#c9c9c9	NA	unknown function
432	#838383	Hsp20 heat shock protein	other
433	#c9c9c9	NA	unknown function
434	#ffdf59	RecE-like recombination exonuclease	DNA, RNA and nucleotide metabolism
435	#f35f49	endolysin	lysis
436	#c9c9c9	NA	unknown function
437	#3e83f6	virion structural protein	head and packaging
438	#07e9a2	baseplate wedge subunit	tail
439	#fea328	site-specific recombination directionality factor RDF	integration and excision
440	#838383	transaldolase	other
441	#07e9a2	tail assembly chaperone	tail
442	#35d7ff	head-tail adaptor	connector
443	#f35f49	holin	lysis
444	#c9c9c9	NA	unknown function
445	#3e83f6	terminase small subunit	head and packaging
446	#07e9a2	tail protein	tail
447	#838383	NAD synthetase	other
448	#838383	nicotinamide phosphoribosyl transferase	other
449	#35d7ff	head-tail adaptor	connector
450	#c9c9c9	NA	unknown function
451	#c9c9c9	NA	unknown function
452	#ffdf59	endonuclease	DNA, RNA and nucleotide metabolism
453	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism
454	#07e9a2	tail fiber protein	tail
455	#c9c9c9	NA	unknown function
456	#f35f49	Rz-like spanin	lysis
457	#07e9a2	tail protein	tail
458	#838383	protease	other
459	#838383	peptidase	other
460	#35d7ff	head closure Hc2	connector
461	#c9c9c9	NA	unknown function
462	#838383	lipoprotein	other
463	#a861e3	anti-repressor	transcription regulation
464	#c9c9c9	unknown function	unknown function
465	#f35f49	endolysin	lysis
466	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
467	#c9c9c9	NA	unknown function
468	#c9c9c9	NA	unknown function
469	#07e9a2	tail protein	tail
470	#c9c9c9	NA	unknown function
471	#838383	methylamine utilization	other
472	#a861e3	WhiB transcriptional factor	transcription regulation
473	#3e83f6	virion structural protein	head and packaging
474	#838383	phosphofructokinase	other
475	#c9c9c9	NA	unknown function
476	#07e9a2	major tail protein	tail
477	#35d7ff	head-tail adaptor Ad1	connector
478	#fea328	site-specific recombination directionality factor RDF	integration and excision
479	#c9c9c9	NA	unknown function
480	#c9c9c9	NA	unknown function
481	#c9c9c9	NA	unknown function
482	#c9c9c9	NA	unknown function
483	#c9c9c9	NA	unknown function
484	#c9c9c9	NA	unknown function
485	#c9c9c9	NA	unknown function
486	#3e83f6	virion structural protein	head and packaging
487	#ff59f5	NrdD-like anaerobic ribonucleotide reductase large subunit	moron, auxiliary metabolic gene and host takeover
488	#ff59f5	CpeT-like antenna protein	moron, auxiliary metabolic gene and host takeover
489	#f35f49	endolysin	lysis
490	#3e83f6	portal protein	head and packaging
491	#ffdf59	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism
492	#c9c9c9	NA	unknown function
493	#35d7ff	head-tail adaptor Ad1	connector
494	#c9c9c9	NA	unknown function
495	#c9c9c9	NA	unknown function
496	#07e9a2	tail fiber protein	tail
497	#ff59f5	toxin-antitoxin system HicB-like	moron, auxiliary metabolic gene and host takeover
498	#838383	DNA methyltransferase	other
499	#c9c9c9	NA	unknown function
500	#c9c9c9	NA	unknown function
501	#35d7ff	head closure Hc1	connector
502	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
503	#c9c9c9	NA	unknown function
504	#c9c9c9	NA	unknown function
505	#838383	polynucleotide kinase	other
506	#fea328	transposase	integration and excision
507	#c9c9c9	NA	unknown function
508	#07e9a2	tail assembly chaperone	tail
509	#3e83f6	terminase small subunit	head and packaging
510	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
511	#3e83f6	internal virion protein	head and packaging
512	#c9c9c9	NA	unknown function
513	#fea328	transposase	integration and excision
514	#3e83f6	major head protein	head and packaging
515	#838383	PetE plastocyanine	other
516	#c9c9c9	NA	unknown function
517	#ffdf59	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
518	#a861e3	Rha-like transcriptional regulator	transcription regulation
519	#c9c9c9	NA	unknown function
520	#c9c9c9	NA	unknown function
521	#07e9a2	tail protein	tail
522	#c9c9c9	NA	unknown function
523	#07e9a2	tail collar fiber protein	tail
524	#a861e3	anti-repressor Ant	transcription regulation
525	#c9c9c9	NA	unknown function
526	#f35f49	holin	lysis
527	#c9c9c9	NA	unknown function
528	#c9c9c9	NA	unknown function
529	#07e9a2	tail fiber protein	tail
530	#3e83f6	head maturation protease	head and packaging
531	#ffdf59	Rnase H	DNA, RNA and nucleotide metabolism
532	#a861e3	late transcriptional activator	transcription regulation
533	#3e83f6	portal protein	head and packaging
534	#ffdf59	DNA binding protein	DNA, RNA and nucleotide metabolism
535	#c9c9c9	NA	unknown function
536	#a861e3	transcriptional regulator	transcription regulation
537	#3e83f6	portal protein	head and packaging
538	#07e9a2	minor tail protein	tail
539	#fea328	excisionase	integration and excision
540	#ffdf59	nucleotide-sugar epimerase	DNA, RNA and nucleotide metabolism
541	#35d7ff	head-tail adaptor	connector
542	#c9c9c9	NA	unknown function
543	#ffdf59	DNA topoisomerase II large subunit	DNA, RNA and nucleotide metabolism
544	#3e83f6	major head protein	head and packaging
545	#c9c9c9	NA	unknown function
546	#c9c9c9	NA	unknown function
547	#838383	phosphoesterase	other
548	#ffdf59	RNA ligase	DNA, RNA and nucleotide metabolism
549	#c9c9c9	NA	unknown function
550	#a861e3	CIII anti-termination	transcription regulation
551	#ffdf59	DNA topoisomerase II	DNA, RNA and nucleotide metabolism
552	#c9c9c9	NA	unknown function
553	#07e9a2	minor tail protein	tail
554	#c9c9c9	NA	unknown function
555	#c9c9c9	NA	unknown function
556	#3e83f6	minor head protein	head and packaging
557	#838383	outer membrane protein	other
558	#c9c9c9	NA	unknown function
559	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
560	#c9c9c9	NA	unknown function
561	#ffdf59	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
562	#07e9a2	RNA ligase and tail fiber protein attachment catalyst	tail
563	#3e83f6	virion structural protein	head and packaging
564	#c9c9c9	NA	unknown function
565	#f35f49	holin	lysis
566	#c9c9c9	NA	unknown function
567	#c9c9c9	NA	unknown function
568	#ffdf59	plasmid stability	DNA, RNA and nucleotide metabolism
569	#07e9a2	tail length tape measure protein	tail
570	#c9c9c9	NA	unknown function
571	#c9c9c9	NA	unknown function
572	#c9c9c9	NA	unknown function
573	#c9c9c9	NA	unknown function
574	#c9c9c9	NA	unknown function
575	#fea328	Cox-like excisionase and repressor	integration and excision
576	#07e9a2	tail fiber protein	tail
577	#ff59f5	Doc-like toxin	moron, auxiliary metabolic gene and host takeover
578	#35d7ff	head closure Hc3	connector
